"Sheet #0: Sheet1"
Nickname,Product,Id
"Nickname A","Product A",ebc69758-636d-4114-a199-df13b9924b52
"Nickname A","Product B",381fa79e-4ba9-4e74-b6cf-4c342fe41b0b
"Nickname A","Product B",bc08f999-fb97-4e40-b79e-bbef0a867472


"Nickname B","Product A",0ceebf8c-0e85-4fe7-8d0a-adce7036b224
"Nickname B","Product A",b1126ad6-2184-44f2-8042-a5b207de262e

"Nickname B","Product B",223dc79e-a053-44f2-843d-630ad6527ff3
"Nickname B","Product B",668259f3-8d22-4b41-9a7d-fba071805819

"Nickname B","Product C",d4236d3c-d593-4c0f-a85a-0bcd5aead1ca

"Nickname C","Product C",1169195e-bd5f-4955-aa1a-a6288333f0ba
